lag,correlation,pvalue,n_obs
-12,0.03709100530996864,0.4692120332008007,383
-11,0.13915324159669165,0.0063095389756092374,384
-10,-0.03942997139895106,0.4404365305952476,385
-9,-0.0023632587974646096,0.9630869603087413,386
-8,0.10483639372771962,0.039266154995269816,387
-7,0.04454555206738723,0.3815472285171918,388
-6,0.07144979404853705,0.15958362880507518,389
-5,0.016691921597967684,0.7424551469550768,390
-4,0.02122297836743294,0.6756833701853119,391
-3,0.13019740099882834,0.009864655442760923,392
-2,0.2064120154921653,3.73299370790463e-05,393
-1,0.21667472294121923,1.432256257433997e-05,394
0,-0.012020060670946794,0.8117682550651846,395
1,0.06642813017356158,0.18766955829449272,395
2,0.06832431388918186,0.17535400958545133,395
3,-0.04578735623414137,0.36409074560322174,395
4,-0.03157646822640276,0.5314874147001807,395
5,0.15048450290579293,0.0027137060642014694,395
6,-0.005395817608469255,0.914867781177879,395
7,-0.02314030274951514,0.6465872968689301,395
8,-0.03972389818308922,0.4311029887741854,395
9,0.04668633370342634,0.35473882659757744,395
10,-0.01727664511303414,0.7321222068028391,395
11,-0.05725088916363327,0.25630654039588835,395
12,0.013686886043460062,0.7862586708418149,395
