lag,correlation,pvalue,n_obs
-12,0.10938242751476453,0.03303717689388,380
-11,-0.06906918799935964,0.178510932353771,381
-10,-0.009460496568840734,0.8537766505705576,382
-9,-0.030904781457169586,0.5465182528077673,383
-8,0.009304335291485381,0.8557895030937599,384
-7,0.02258353389361634,0.6586799532606015,385
-6,0.022959654230683458,0.6529397765134175,386
-5,0.02374033512755335,0.6415145457991767,387
-4,0.06118960698470276,0.2291567926168002,388
-3,0.08473541749281623,0.0951435452327242,389
-2,-0.004604121117278439,0.9277844218163209,390
-1,-0.21847591441425301,1.3064579514198614e-05,391
0,-0.1045182770839907,0.03860091358506494,392
1,-0.054505383592303135,0.28231970450590727,391
2,-0.0471886523436422,0.35266743142658097,390
3,-0.02179097994451911,0.6683212868977394,389
4,0.028244652105525837,0.5791198843480532,388
5,0.01729572348939832,0.734480404218062,387
6,-0.09438469693704278,0.06395572006348382,386
7,-0.02685910121585877,0.5993087862865281,385
8,0.0888397567090728,0.08209452081326987,384
9,-0.05700200250914425,0.26579009724969,383
10,0.008084494722663333,0.8748549517047237,382
11,0.07348421766854041,0.15226469231435785,381
12,0.03269781856531487,0.5251233062149104,380
