lag,correlation,pvalue,n_obs
-12,-0.0008924281957153893,0.9931517100892967,95
-11,-0.03123613976904191,0.7625643707854179,96
-10,0.010107790412433756,0.9217241304136677,97
-9,-0.04486934109302901,0.660874768739647,98
-8,0.02950557151616728,0.7718840470215372,99
-7,-0.10571534036996078,0.29519229461699126,100
-6,0.02924446157728895,0.771581382662991,101
-5,-0.00968329763097596,0.9230492452070622,102
-4,-0.06049374954498652,0.5438455391368282,103
-3,-0.12755611152780943,0.19691935646500774,104
-2,0.05773875679189605,0.5585125408531209,105
-1,0.20641354547729912,0.03376411480111756,106
0,0.11007965330709504,0.2590106458222985,107
1,-0.07545632811023835,0.4420381638193178,106
2,-0.0557178959051017,0.5723846683132223,105
3,-0.0051543819083274284,0.9585847735263788,104
4,-0.03190510110117837,0.7490205372002872,103
5,0.10779647322728866,0.2808466437062711,102
6,0.16458958077343305,0.10002070669004633,101
7,-0.027503550856296605,0.785907288417788,100
8,-0.041147664839802194,0.6859290501696544,99
9,0.14291465789102142,0.16036413382248127,98
10,0.04382835980290557,0.6699123269952549,97
11,0.09013872308808574,0.3824526803270693,96
12,-0.1384248351883488,0.18096567551106343,95
